comment_id,text,likes,author,author_id,timestamp,time_text,is_pinned
UgwsX80609fW6mldeph4AaABAg,አራአያ ሮቤል❤❤❤❤❤,4,@ReMu-rw3of,UCILO5GzXDYHU72yc7LA9wjg,1751500800,2 days ago,False
UgwsX80609fW6mldeph4AaABAg.AK51SbbfJ-aAK5mMXZ_h7r,ሮቤል ስልክ አስቀምጥልን,0,@abbagabir1229,UCAd-EvbN7AqHA2V6U-xs6VQ,1751587200,1 day ago,False
Ugwmw-tAXOeHNyfEqKV4AaABAg,አርያ   ተ/ማርያም   ወንድሜ   የእለቱን    ፕሮግራም   ስትጀምሩ   እለቱንና  ቀኑን   ብትገልፁ  ።,0,@Dereje-c7t,UCN8vgFvTVbLI0w5VsV2_V7w,1751655600,5 hours ago,False
UgxW-2t3j25O0_gdT9R4AaABAg,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,@mohammedmuktar1113,UCW0wpMZW5E1xV7fLtYrAkhQ,1751500800,2 days ago,False
Ugzn1NKIPOxbpVmhW-R4AaABAg,"አርዓያ ኢትዮጵያዊ ስሜትህና ለሀገር ተቆርቋሪነትህ ደስ ይላል , የመረጃ ሰዉ መሆንህም ያስታዉቃል ነገር ግን ወቅታዊ የሆኑ ሴራዎችን ከማጋለጥ ይልቅ አይቶ እንዳላየ አያወቀ እንዳላወቀ ሆነህ አድበስብሰህ የምታልፈዉ ነገር አይመችም :: ለምሳሌ "" የትግራዩ ባለሀብት መሣሪያ ሸምቶ በቦሌ እያስገባ ለህወሃት ሲያስረክብ መንግሥት ዝም ማለቱ በመንግሥት በኩል ጤናማ ያልሆነ ነገር መሆኑ  ወዘተ """,0,@TewabechEshete-pi3fz,UCeSJEo_9qHZAq9KmoBTHz2w,1751587200,1 day ago (edited),False
UgxDEQd1xLpN7kCnNWd4AaABAg,ጀግና አርአያ,5,@Zehara-t1r,UCySTXRImcVxeLPd1WKHYigw,1751500800,2 days ago,False
UgyS0QbHu-Vlo9p_n6x4AaABAg,❤❤❤❤❤You,0,@mulukaebrahim7682,UCjs9uoneRTRbza1UypfzGuA,1751587200,1 day ago,False
UgzQWUHlYMbO5XTxb7l4AaABAg,ሮቤሌ ስልክ ተውልን'ጂ,3,@TameratDekeba,UCObPeqawbrcLl9XrpD2sVfA,1751500800,2 days ago,False
Ugy5jTe6xXZljMYBkDF4AaABAg,አራአያ  ንግድባንክ  ህገወጥ ነጋዴ ሆኖአል ቢያስብበት ጥሩ ነው  አሪፍ እይታነው❤❤❤,0,@yenegete1914,UCqNHR5nFJiY7sThBdY1Y6wQ,1751598000,21 hours ago,False
UgzwlpREK7qbI6-TY_Z4AaABAg,የህወሓታዉያን ለሻዕብያ ማጎብደድ እና በኢትዮጵያ መንግስት ላይ ደግሞ ጥርሳቸዉን ማፋጨት አላቆም የማለታቸዉ ዋናዉ ምክንያት፦ ህወሓታዉያን ዳጎስ ያለ የኢኮኖሚ ትርፍ የሚያስገኝላቸዉን መንበር በማለም ካልሆነ በስተቀር ለዕዉነት፣ ለፍትህ፣ ለክብር፣ ለነጻነት ብለዉ ስለማይታገሉ፤ ታግለዉም ስለማያዉቁ ነዉ። ይሄን ማንነታቸዉን የሚገነዘብ ሰዉ ያን ሁሉ ዉርደት ካዘነበባቸዉ ሻዕብያ ጋር አብረዉ የ4ኪሎን መንበር ቢያልሙ አይደንቀዉም። ሻዕብያን ተበቅለዉ አስመራ ቢገቡ ምን ያተርፋሉ? የኤርትራን ልማት ባንክ መዝብረዉ ኤፈርት ሊያቋቁሙ?😂 የአስመራን መሬት ሊቸበችቡ?😂 ወይም ለጦር አዛዦቻቸዉ ሊያከፋፍሉ?😂 ምን ይሠራላቸዋል?😂 ማንስ ይገዛቸዋል?😂😂,1,@mamehika6943,UCB360ityRwsPsJqtXZxBX2A,1751500800,2 days ago,False
UgyOTv2necY6brirD614AaABAg,"Last time Sudan sent weapons, and now soldiers; this should be looked into.",3,@LulitTessema,UCuy0Tt---1pE3SqZbD26k_g,1751500800,2 days ago,False
UgzCGcrtQ5WeMinmj5Z4AaABAg,ለህወሀት ሲባል ሰኔ አይምጣ?,3,@MenjtaTariku,UCxbU2Ge1P3kE9Q-jPaze39Q,1751500800,2 days ago,False
UgzcmLTyNG1DKdISuYd4AaABAg,አሁን የትግራይ ህዝብ ከጦርነት የሚያገኘው ምንም ነገር የለም።,4,@shimelistesfaye807,UCBCfx3v0_Bh87XR4FQiA3IQ,1751500800,2 days ago,False
UgzuzSYtQMS2VvEOpXB4AaABAg,✨ALLAHUMA 👑🗣FIKIH ASIRENA ✨🤲🤲🤲,0,@ZeinabOmarAli-up7vz,UCbExQoHoC3NLZvnrvSW_Hlg,1751587200,1 day ago,False
Ugyhwi7kyyePG_JJ9WZ4AaABAg,❤❤❤❤,2,@zemedkunbekele-o9w,UCTXTC1wMVEg677whBIqejww,1751500800,2 days ago,False
UgzxfHV43GBekg2sinp4AaABAg,አረ መብራትስ።,3,@asfawyimer1050,UCAouHVTWevND-JIkyUk9g7Q,1751500800,2 days ago,False
UgwF9JAXtkRfHI99Dzd4AaABAg,ህዝብ መሠለህ የዉጪ ቅስቀሳ ዲዲቲ መርጨት እንጃ ጦርነት አይሞክሩም አትጠራጠር ሁለ የፍርዲ ቀን አለዉ🎉,1,@koolt233ሰዉ,UCObeuBehdnuVIGHAvLZQ14Q,1751500800,2 days ago,False
UgxbNTWQ3rWBt5ZSKIJ4AaABAg,?ለ አርያ  የሀገር ጠላትን ሚስጥር የምታጋልጥ ሰው አንተ ማስረጃም ቢኖርህም ቤተሰብ ሳይፈቅዱልህ  ወርደህ ?   የቤተሰብ ታሪክ  መናገር መጀመርህ  ልክነህ --? ትውልድ አለ  ከጀርባህ ጠይቅ እንማማር እባክህ ስለምንወድህ ነው የጠየኩህ ምርጥ ኢትዮጰያዊ ነህ::   🕊️💙🙏🏽🤷🏽‍♂️⚖️🤷🏼‍♀️,2,@captainayub6482,UCjSmDOe-DPPwFsOOFn_SAfg,1751500800,2 days ago (edited),False
UgwgVqZMOccn8VUhCcV4AaABAg,የማህበርሰቡን ችግር እረስታችሁ ስትበቃቀሉ ዛሬ እንዴት ስለውሀ አወራችሁ?,4,@onetruth4649,UCOpRKFwLkTl7y4jft4ZdEKw,1751500800,2 days ago,False
UgxmBUIo1j4Kc6HtdJB4AaABAg,እኔ ግን ምንግሥት ዝምታው ለምን ብዬ ጠይቃለሁ ምክንያቱም ኢትዮጵያ ውስጥ አንድ ክልል ይህንን ያህል መፍንጨት የለበትም ዞሮዞሮ አደጋው ለሀገራችን ነው,0,@jesusislord288,UCOs6mD8tcHkC-sIekUrGbBQ,1751587200,1 day ago,False
UgwVUuZF3Iir1CV-iLF4AaABAg,ጠ/ሚ ችግሮችን በሀገር ላይ ይዞ የመጣብን ጣጣ  ከጎረቤት ሀገራት ሁሉ ተጣልቷል ።  ከኤርትራ ፣ከጅቡቲ፣ከሱማሌላንድ፣ከሱዳን ቡርሀን ሀገር ውስጥ ከሁሉም ክልሎች ተጣልቶ ጦርነት ከፍቶ ከትግራይ፣ከአማራ፣ከኦሮሚያ ።,0,@sabatrading4447,UCnvyNlv8ram0fJDN3_NzGYg,1751587200,1 day ago,False
UgxgiEH_t-Jfd6zmShB4AaABAg,"ከሰረመሠረታቸው የሰብሐትና የመለሰ ቤተሰቦች የተረገሙና የክፋት ጎተራዎች በመሆናቸው  ከሴራና  ከእኩይ ተግባራት መላቀቅ አይቹሉም የሚገርመው ነገር የሰብሃት እህት ሰም ከሰብዕናዋ ጋ አይሔድም  ""ቅዱሳን"" ምግባረ ክፋ በሰም ይደገፋ ነገሩ ሁሉ",0,@Micky-n4i,UCLkAXV6JqLJsKTnHbdNut0A,1751637600,10 hours ago,False
UgwAgWtEmDxVTYycVh54AaABAg,አርያ በደንብ እናደንቀሀለንመላውትግራይ ለሰሌም እምዳንተ ቢነሳ ጥሩ ነበር,0,@lukewarm170,UCQNn3R5cR3G6HMmqTifG2Bw,1751500800,2 days ago,False
UgytQtsH7suFxY6I6Nx4AaABAg,ሰሜኖች መላዉ ኢትዬጰያን ተቆጣጥረዉ ኢቴዬጰያን ሲበዘብዙ ሰፊዉ የትግራይ ህዝብ ምንም አልተጠቀመም:: አሁን ላይ እንደ ቀድሞዉ መዝረፍ አይቻሌም::   ሙሰኞች መንግሰት ላይ አክሩፈዉ ለጦርነት እየተዘጋጁ መሆናቸዉን ምልክቶች እየታዩ መሆናቸዉ በጣም አሳፋሪ ተግባር ነዉ:: ሰላም ካልወረደ በጦርነት ዉሰጥ ህይዎት ያልፋል:: አካለ ሰንኩል እና ደሀ ህዝብ ይበራከታል:: ልማት ይቋረጣል:: ሰለዚህ ወደ ሰላም በመመለሰ  ለልማት ቱክራት ሰጥቶ ሀብት በማፍራት ሰላም ማሰፈንና መበልጸግ ይሻላል::,1,@mamemome8341,UClWtd8D4con0VKIfq0nRK6Q,1751500800,2 days ago,False
UgyLMirhDdTmMJ5QkWV4AaABAg,እግዚአብሔር  ይራደናል!!!,0,@ewnetugiru5102,UCdR8Z_iNHbeD__h1rgKCy4g,1751587200,1 day ago,False
UgxpyWFhvxWQBCkEPa94AaABAg,ሪፖርተር ጋዜጣ በሼኩ ጉዳይ በጣም ብዙ መረጃ  አውጥቶ እስከ ሞት የሚያደርስ ጉዳት አድርሰውበታል,1,@mamatube7390,UCIRFUjRGwrtVtOJl1T2I0hw,1751500800,2 days ago,False
UgxHbowwZtTUZ6jv4JV4AaABAg,ውሃ በሳምንት አንድ ጊዜ  የአዲስ አበባ ሕዝብ እንደሚያገኝ ዛሬ ነው የምታውቁት ?,3,@siyoumyeshitla746,UCDU1zRKnZO45uK62eBtuzPQ,1751500800,2 days ago,False
