channel_id,video_url,video_title,upload_date,comment_id,text,likes,author,author_id,timestamp,time_text,is_pinned
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxGxcxoj8UlS4pKIrl4AaABAg,Min ayinet Gazetegna yemayimesel gazetegna new ? Teyakew Yeteqorarete nigigir new yeminagerew...🎉,0,@Anson..23-s2l,UCxS4aowfisprMCb-y3CEWAA,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxVcV5DV6LH4zDBZuF4AaABAg,Enkuan Temelesk ( well come back) Sol🎉,1,@seblemetaferia4270,UCklC28A3ti2OgE1Tp9R-JLA,1748822400,1 month ago (edited),False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugy5yb-oPaocw6MogrF4AaABAg,በኛ አገር ኮንቴክስ ቻለንጂንግ ነው ❤❤❤,1,@maeregalemayehu1720,UCC2s7z8OfJmOaUYZnKy8xHA,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgySs_MDXchLKjPTKE14AaABAg,❤❤❤❤❤❤❤,1,@aksumawitfetwi5669,UCYCCK2cU0Gp9pLTv6sPjrlg,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwrIpcsTG5bTode3Dh4AaABAg,Amazing 45 years old Bji you look young,0,@Temesgenyefexerkegne,UCOSBL7vV7_DNckHJcPwK-Bg,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxEGKeGRT9WRcvJfQZ4AaABAg,Sol Welcome,1,@ganodermabekele8180,UCWUerZEpT8uv-oXOyPuY0aQ,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzDSdeEjBxdjzBvuWF4AaABAg,የቅጥር ስራ ፈልጉልኝ አዲስ አበባ ዩንቨርስቲ ነው የተመረኩት አሁን ስራ የለኝም,0,@Enyew39,UC3OWXAhOQtkQdAXZmZhjTTg,1751443200,3 hours ago (edited),False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugw5892N9XynaQcXRoB4AaABAg,ቢጃይ፤  “ኢኖቬሽን ህዝባዊ መሆን አለበት”    በጣም ትክክለኛ ሐሳብ፡፡  አዎን የምትሉ፤ እስቲ ሐሳብ ስጡበት፡፡,0,@bekelechtolaboku4650,UCAEw4I-r1EBtFQtamZ-ZInA,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzKbHRGFKqQ14Kk4Yx4AaABAg,ውይይቱ አሪፍ ነው! ግን እንትኑ በዝቷል😅,0,@wasihuntafere9119,UCj-X-XiRvpftdsbkG4sKH8A,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzXDLAiB37MV4rIBHN4AaABAg,ሠለሞንም ቢጂአይም ሁለታችሁም እንደሠዉ ብሆን ብዬ የምመኘዉ ፐርሠናሊቲ ያላችሁ ሠዎች ናችሁ,1,@Firewoini-lf8le,UCsh104TpL9V8EmprC7MmckQ,1748822400,1 month ago,False
