video_id,video_title,channel_url,comment_id,text,author,likes,timestamp
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","Ugxt5f6GoiWENmI9Uo54AaABAg","Good morning my family 💞","@ayanoAbraham",0,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","Ugxl33CJjZE74oVxN9R4AaABAg","1","@ezedinseid-f4d",1,"1752264000"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxUG-Q6KlviH1FCYpl4AaABAg","እኔ አንድ ነገር ያሳዝነኛ እኛ አፍሪካውያን አጠገባችን ያለውን ወንድማችንን ከማክበር ይልቅ ወደ አረቦችና ነጮች መሮጥ እንጂ ችግሮቻችንን ለመፍታት አንፈልግም ።","@Jesus-t2d1y",1,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgzfbGG9ZMAhO464yHl4AaABAg","ትንሹ ቡሽ ኢትዮጵያ መጥቶ ነበር","@asfawbizaniemaru433",0,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgzEYPzQUs6NYv7XaAl4AaABAg","በቀይ ባህር ያስገቡ   ኤርትራ አለች  አይደል   ገንዘብ ችግር የለም እያላችሁ ስትፎክሩ አይደል      ለታንክ የሚሆን ነዳጅ አይሰጥም   የሶማሊያ ድርድር     ጊዜ መግዣ እንጂ   እውነት","@seifuyazew5189",0,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","Ugx9urZpJWAGhQXkBQt4AaABAg","የኢትቶ ፈላሻዎች ድሮስ ከፊት አድርገው ሊያስገድሏቸው እንጅ መች ሲያከብሯቸው ባለ ወዴ መደበቂያ አናስገባም ብለው ለኢራን ሚሳኤል ራት የሆኑትስ😂😂😂😂😊","@Almas-96",1,"1752269400"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxbFOdV-81Wpk8QDJB4AaABAg","የትግራይ ነዳጅ ሻዕቢያ እየቀማቸው ወደ አስመራ እየወሰደባቸው ነው😢","@heroadh1930",0,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxbFOdV-81Wpk8QDJB4AaABAg.AKTg4e55T82AKToVgx5vX7","ነውንዴ ከየት የመጣ ነዳጅ ነው😂😂😂ቆፍረህ ያወጣሀው ነው???መሀል የሌለው ነዳጅ....ቀባጣሪ። 
ስትዋሽ በመጠኑ ይሁን‼️","@adeytube6750",0,"1752271320"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgwENS6MTBSDmjLNvDh4AaABAg","Pp set defri","@SelamKidan-o6u",0,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgyifIKOsEZ5dfulkNB4AaABAg","😂, 😂😂😂😂😂","@Kiyaa-v7b",0,"1752267600"
